k,inertia,silhouette,adjusted_rand_index,normalized_mutual_info
2,23145.268928751517,0.18119993886740496,0.03851928307219741,0.10101499328903095
3,21367.14615498927,0.1858853465505343,0.01263016855639572,0.08984265455661955
4,19725.344791935655,0.1380491035441565,0.11685244639028837,0.13602881453648952
5,18467.032094985436,0.11917023272003249,0.09766874756858972,0.11261954900799123
6,16957.69056458814,0.12208561878496436,0.0678167681002658,0.09397218126323235
7,16026.38827099136,0.14138516128849044,0.07928320597270395,0.11968510282357216
8,15302.687349238618,0.13953697956778463,0.07065398321600774,0.09774535325377894
9,14516.918014025545,0.1434761108418268,0.04499469473325158,0.11281352236038629
